,mnemonics,label
0,TENS,CABLE TENSION
0,BIT,BIT SIZE
1,ACAL,CALIPER
2,C1,CALIPER
3,C13,CALIPER
4,C13A,CALIPER
5,C13-A,CALIPER
6,C13H,CALIPER
7,C13I,CALIPER
8,C13L,CALIPER
9,C13M,CALIPER
10,C13P,CALIPER
11,C13Z,CALIPER
12,C2,CALIPER
13,C24,CALIPER
14,C24A,CALIPER
15,C24-A,CALIPER
16,C24H,CALIPER
17,C24I,CALIPER
18,C24L,CALIPER
19,C24M,CALIPER
20,C24P,CALIPER
21,C24Z,CALIPER
22,CA,CALIPER
23,CA1,CALIPER
24,CA2,CALIPER
25,CADE,CALIPER
26,CADF,CALIPER
27,CAL,CALIPER
28,CAL1,CALIPER
29,CAL2,CALIPER
30,CAL3,CALIPER
31,CALA,CALIPER
32,CAL-A,CALIPER
33,CALD,CALIPER
34,CALE,CALIPER
35,CALH,CALIPER
36,CALI,CALIPER
37,CALIPER,CALIPER
38,CALI_SPCS,CALIPER
39,CALL,CALIPER
40,CALM,CALIPER
41,CALN,CALIPER
42,CALP,CALIPER
43,CALS,CALIPER
44,CALT,CALIPER
45,CALX,CALIPER
46,CALX-A,CALIPER
47,CALXH,CALIPER
48,CALXM,CALIPER
49,CALX-ML,CALIPER
50,CALXQ8,CALIPER
51,CALXQH,CALIPER
52,CALX-R,CALIPER
53,CALY,CALIPER
54,CALY-A,CALIPER
55,CALYH,CALIPER
56,CALYM,CALIPER
57,CALY-ML,CALIPER
58,CALYQ8,CALIPER
59,CALYQH,CALIPER
60,CALZ,CALIPER
61,CANC,CALIPER
62,CAPD,CALIPER
63,CAX,CALIPER
64,CAY,CALIPER
65,CLCM,CALIPER
66,CLDC,CALIPER
67,CLDM,CALIPER
68,CLLO,CALIPER
69,CLTC,CALIPER
70,CLXC,CALIPER
71,CLYC,CALIPER
72,CQLI,CALIPER
73,DCAL,CALIPER
74,HCAL,CALIPER
75,HCAL2,CALIPER
76,HCALI,CALIPER
77,HCALX,CALIPER
78,HCALY,CALIPER
79,HD,CALIPER
80,HD_1,CALIPER
81,HD1,CALIPER
82,HD2,CALIPER
83,HD3,CALIPER
84,HDAR,CALIPER
85,HDIA,CALIPER
86,HDMI,CALIPER
87,HDMN,CALIPER
88,HDMX,CALIPER
89,HLCA,CALIPER
90,LCAL,CALIPER
91,MCAL,CALIPER
92,MLTC,CALIPER
93,SA,CALIPER
94,TAC2,CALIPER
95,C3,CALIPER
96,CLS2,CALIPER
97,HHCA,CALIPER
98,MBTC,CALIPER
99,TACC,CALIPER
100,2DRH,DENSITY CORRECTION
101,DC,DENSITY CORRECTION
102,DCOR,DENSITY CORRECTION
103,DECR,DENSITY CORRECTION
104,DEPT,DEPTH
105,DEPTH,DEPTH
106,DRH,DENSITY CORRECTION
107,DRHO,DENSITY CORRECTION
108,HBDC,DENSITY CORRECTION
109,HDRA,DENSITY CORRECTION
110,HDRH,DENSITY CORRECTION
111,HHDRA,DENSITY CORRECTION
112,RHOC CDL,DENSITY CORRECTION
113,RHOC,FORMATION DENSITY
114,RPCL_DCOR,DENSITY CORRECTION
115,ZCOR,DENSITY CORRECTION
116,ZCOR2,DENSITY CORRECTION
117,ZCOR2QH,DENSITY CORRECTION
118,ZCORQH,DENSITY CORRECTION
119,HHDR,DENSITY CORRECTION
120,Z-COR,DENSITY CORRECTION
121,AC,SONIC TRAVEL TIME
122,ACCO,SONIC TRAVEL TIME
123,ACL,SONIC TRAVEL TIME
124,ACN,SONIC TRAVEL TIME
125,DT,SONIC TRAVEL TIME
126,DT24,SONIC TRAVEL TIME
127,DT24-A,SONIC TRAVEL TIME
128,DT24AQI,SONIC TRAVEL TIME
129,DT24QI,SONIC TRAVEL TIME
130,DT24SQA,SONIC TRAVEL TIME
131,DT34,SONIC TRAVEL TIME
132,DT35,SONIC TRAVEL TIME
